,Title,Latitude,Longitude
81,"Green earthquake alert (Magnitude 5.3M, Depth:10km) in Mexico 24/09/2020 23:01 UTC, About 49000 people within 100km.",27.1725,-111.4812
82,"Green earthquake alert (Magnitude 4.5M, Depth:59.32km) in United States 24/09/2020 19:23 UTC, No people within 100km.",51.4832,177.8437
83,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Albania 24/09/2020 19:21 UTC, 2700000 people within 100km.",40.9965,19.7171
84,"Green earthquake alert (Magnitude 4.5M, Depth:517.89km) in Banda Sea 24/09/2020 17:42 UTC, No people within 100km.",-7.1949,125.1012
85,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Islamic Republic of Iran 24/09/2020 13:15 UTC, 1450000 people within 100km.",29.5102,51.4363
86,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Indonesia 24/09/2020 09:35 UTC, 720000 people within 100km.",-3.6252,128.4742
87,"Green earthquake alert (Magnitude 4.6M, Depth:10km) in Greece 24/09/2020 05:10 UTC, 610000 people within 100km.",38.86,20.4823
88,"Green earthquake alert (Magnitude 4.5M, Depth:10km) in Svalbard and Jan Mayen 24/09/2020 04:44 UTC, No people within 100km.",79.6067,3.3279
89,Green alert for tropical cyclone TEDDY-20. Population affected by Category 1 (120 km/h) wind speeds or higher is 0.,51,-57.3
90,"Green earthquake alert (Magnitude 5.2M, Depth:14.55km) in Philippines 24/09/2020 02:25 UTC, 450000 people within 100km.",9.4067,126.7559
91,"Green earthquake alert (Magnitude 4.6M, Depth:100.92km) in Tonga 24/09/2020 01:30 UTC, No people within 100km.",-22.1576,-176.5827
92,"Green earthquake alert (Magnitude 4.8M, Depth:10km) in Central Mid-Atlantic Ridge 24/09/2020 01:01 UTC, No people within 100km.",-0.3385,-19.0476
93,"Green earthquake alert (Magnitude 5.7M, Depth:10km) in Central Mid-Atlantic Ridge 24/09/2020 00:27 UTC, No people within 100km.",-0.2758,-18.8285
94,Green flood alert in India,19.07639,72.8768185
95,Green alert for tropical cyclone DOLPHIN-20. Population affected by Category 1 (120 km/h) wind speeds or higher is 0.,32.9,141.7
96,"Green earthquake alert (Magnitude 4.7M, Depth:10km) in Philippines 23/09/2020 22:19 UTC, About 74000 people within 100km.",9.3253,127.0461
97,"Green earthquake alert (Magnitude 4.7M, Depth:47.7km) in Indonesia 23/09/2020 22:07 UTC, About 8000 people within 100km.",2.2091,126.8534
98,Green alert for tropical cyclone PAULETTE-20. Population affected by Category 1 (120 km/h) wind speeds or higher is 0.,34.8,-20
